image,class
augmented_#1_00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,6
augmented_#2_00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,6
augmented_#3_00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,6
augmented_#4_00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,6
augmented_#0_00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,6
augmented_#1_00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,6
augmented_#2_00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,6
augmented_#3_00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,6
augmented_#4_00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,6
augmented_#0_00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,6
augmented_#1_00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,6
augmented_#2_00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,6
augmented_#3_00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,6
augmented_#4_00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,6
augmented_#0_00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,6
augmented_#1_00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,6
augmented_#2_00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,6
augmented_#3_00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,6
augmented_#4_00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,6
augmented_#0_00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,6
augmented_#1_00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,6
augmented_#2_00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,6
augmented_#3_00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,6
augmented_#4_00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,6
augmented_#0_00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,6
augmented_#1_00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,6
augmented_#2_00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,6
augmented_#3_00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,6
augmented_#4_00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,6
augmented_#0_00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,6
augmented_#1_00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,6
augmented_#2_00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,6
augmented_#3_00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,6
augmented_#4_00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,6
augmented_#0_00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,6
augmented_#1_00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,6
augmented_#2_00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,6
augmented_#3_00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,6
augmented_#4_00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,6
augmented_#0_00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,6
augmented_#1_00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,6
augmented_#2_00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,6
augmented_#3_00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,6
augmented_#4_00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,6
augmented_#0_00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,6
augmented_#1_00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,6
augmented_#2_00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,6
augmented_#3_00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,6
augmented_#4_00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,6
augmented_#0_00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,6
augmented_#1_00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,6
augmented_#2_00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,6
augmented_#3_00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,6
augmented_#4_00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,6
augmented_#0_00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,6
augmented_#1_00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,6
augmented_#2_00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,6
augmented_#3_00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,6
augmented_#4_00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,6
augmented_#0_00000_00002_00001_png.rf.3cef739224527428e387081193bd420b.jpg,6
augmented_#1_00000_00002_00001_png.rf.3cef739224527428e387081193bd420b.jpg,6
augmented_#2_00000_00002_00001_png.rf.3cef739224527428e387081193bd420b.jpg,6
augmented_#3_00000_00002_00001_png.rf.3cef739224527428e387081193bd420b.jpg,6
augmented_#4_00000_00002_00001_png.rf.3cef739224527428e387081193bd420b.jpg,6
augmented_#0_00000_00002_00003_png.rf.98523532781dd4a1df08bbddeef993ad.jpg,6
augmented_#1_00000_00002_00003_png.rf.98523532781dd4a1df08bbddeef993ad.jpg,6
augmented_#2_00000_00002_00003_png.rf.98523532781dd4a1df08bbddeef993ad.jpg,6
augmented_#3_00000_00002_00003_png.rf.98523532781dd4a1df08bbddeef993ad.jpg,6
augmented_#4_00000_00002_00003_png.rf.98523532781dd4a1df08bbddeef993ad.jpg,6
augmented_#0_00000_00002_00005_png.rf.4a27eb57929561fce8d7295d6e5a02d4.jpg,6
augmented_#1_00000_00002_00005_png.rf.4a27eb57929561fce8d7295d6e5a02d4.jpg,6
augmented_#2_00000_00002_00005_png.rf.4a27eb57929561fce8d7295d6e5a02d4.jpg,6
augmented_#3_00000_00002_00005_png.rf.4a27eb57929561fce8d7295d6e5a02d4.jpg,6
augmented_#4_00000_00002_00005_png.rf.4a27eb57929561fce8d7295d6e5a02d4.jpg,6
augmented_#0_00000_00002_00008_png.rf.198c9ca7755e89e7b6429415fe9c581f.jpg,6
augmented_#1_00000_00002_00008_png.rf.198c9ca7755e89e7b6429415fe9c581f.jpg,6
augmented_#2_00000_00002_00008_png.rf.198c9ca7755e89e7b6429415fe9c581f.jpg,6
augmented_#3_00000_00002_00008_png.rf.198c9ca7755e89e7b6429415fe9c581f.jpg,6
augmented_#4_00000_00002_00008_png.rf.198c9ca7755e89e7b6429415fe9c581f.jpg,6
augmented_#0_00000_00002_00012_png.rf.5e7ff343bd7727e1efb2a4e3f65cc053.jpg,6
augmented_#1_00000_00002_00012_png.rf.5e7ff343bd7727e1efb2a4e3f65cc053.jpg,6
augmented_#2_00000_00002_00012_png.rf.5e7ff343bd7727e1efb2a4e3f65cc053.jpg,6
augmented_#3_00000_00002_00012_png.rf.5e7ff343bd7727e1efb2a4e3f65cc053.jpg,6
augmented_#4_00000_00002_00012_png.rf.5e7ff343bd7727e1efb2a4e3f65cc053.jpg,6
augmented_#0_00000_00002_00017_png.rf.b95d78da1267944d501b522c399e69a9.jpg,6
augmented_#1_00000_00002_00017_png.rf.b95d78da1267944d501b522c399e69a9.jpg,6
augmented_#2_00000_00002_00017_png.rf.b95d78da1267944d501b522c399e69a9.jpg,6
augmented_#3_00000_00002_00017_png.rf.b95d78da1267944d501b522c399e69a9.jpg,6
augmented_#4_00000_00002_00017_png.rf.b95d78da1267944d501b522c399e69a9.jpg,6
augmented_#0_00000_00002_00020_png.rf.c8fd6279beeea88ec27baab1c1684474.jpg,6
augmented_#1_00000_00002_00020_png.rf.c8fd6279beeea88ec27baab1c1684474.jpg,6
augmented_#2_00000_00002_00020_png.rf.c8fd6279beeea88ec27baab1c1684474.jpg,6
augmented_#3_00000_00002_00020_png.rf.c8fd6279beeea88ec27baab1c1684474.jpg,6
augmented_#4_00000_00002_00020_png.rf.c8fd6279beeea88ec27baab1c1684474.jpg,6
augmented_#0_00000_00002_00024_png.rf.b42d84403ed831db575902a03c7f2923.jpg,6
augmented_#1_00000_00002_00024_png.rf.b42d84403ed831db575902a03c7f2923.jpg,6
augmented_#2_00000_00002_00024_png.rf.b42d84403ed831db575902a03c7f2923.jpg,6
augmented_#3_00000_00002_00024_png.rf.b42d84403ed831db575902a03c7f2923.jpg,6
augmented_#4_00000_00002_00024_png.rf.b42d84403ed831db575902a03c7f2923.jpg,6
augmented_#0_00000_00002_00028_png.rf.46fb61df789e49562e8b018bc70e6a27.jpg,6
augmented_#1_00000_00002_00028_png.rf.46fb61df789e49562e8b018bc70e6a27.jpg,6
augmented_#2_00000_00002_00028_png.rf.46fb61df789e49562e8b018bc70e6a27.jpg,6
augmented_#3_00000_00002_00028_png.rf.46fb61df789e49562e8b018bc70e6a27.jpg,6
augmented_#4_00000_00002_00028_png.rf.46fb61df789e49562e8b018bc70e6a27.jpg,6
augmented_#0_00000_00003_00001_png.rf.f6d40c4ed9d7fc7c24197638b21769ff.jpg,6
augmented_#1_00000_00003_00001_png.rf.f6d40c4ed9d7fc7c24197638b21769ff.jpg,6
augmented_#2_00000_00003_00001_png.rf.f6d40c4ed9d7fc7c24197638b21769ff.jpg,6
augmented_#3_00000_00003_00001_png.rf.f6d40c4ed9d7fc7c24197638b21769ff.jpg,6
augmented_#4_00000_00003_00001_png.rf.f6d40c4ed9d7fc7c24197638b21769ff.jpg,6
augmented_#0_00000_00003_00006_png.rf.822608a933233ba0da02eaae87781f8f.jpg,6
augmented_#1_00000_00003_00006_png.rf.822608a933233ba0da02eaae87781f8f.jpg,6
augmented_#2_00000_00003_00006_png.rf.822608a933233ba0da02eaae87781f8f.jpg,6
augmented_#3_00000_00003_00006_png.rf.822608a933233ba0da02eaae87781f8f.jpg,6
augmented_#4_00000_00003_00006_png.rf.822608a933233ba0da02eaae87781f8f.jpg,6
augmented_#0_00000_00003_00009_png.rf.e8576766b4d4c65a200a025161204757.jpg,6
augmented_#1_00000_00003_00009_png.rf.e8576766b4d4c65a200a025161204757.jpg,6
augmented_#2_00000_00003_00009_png.rf.e8576766b4d4c65a200a025161204757.jpg,6
augmented_#3_00000_00003_00009_png.rf.e8576766b4d4c65a200a025161204757.jpg,6
augmented_#4_00000_00003_00009_png.rf.e8576766b4d4c65a200a025161204757.jpg,6
augmented_#0_00000_00003_00014_png.rf.9c8f2d4be56d827336feec338dde87e0.jpg,6
augmented_#1_00000_00003_00014_png.rf.9c8f2d4be56d827336feec338dde87e0.jpg,6
augmented_#2_00000_00003_00014_png.rf.9c8f2d4be56d827336feec338dde87e0.jpg,6
augmented_#3_00000_00003_00014_png.rf.9c8f2d4be56d827336feec338dde87e0.jpg,6
augmented_#4_00000_00003_00014_png.rf.9c8f2d4be56d827336feec338dde87e0.jpg,6
augmented_#0_00000_00003_00020_png.rf.6ce5a9975fc3533b8ab87b7e7c05c668.jpg,6
augmented_#1_00000_00003_00020_png.rf.6ce5a9975fc3533b8ab87b7e7c05c668.jpg,6
augmented_#2_00000_00003_00020_png.rf.6ce5a9975fc3533b8ab87b7e7c05c668.jpg,6
augmented_#3_00000_00003_00020_png.rf.6ce5a9975fc3533b8ab87b7e7c05c668.jpg,6
augmented_#4_00000_00003_00020_png.rf.6ce5a9975fc3533b8ab87b7e7c05c668.jpg,6
augmented_#0_00000_00003_00023_png.rf.d380a41c490b666ce4bee8990368a1fd.jpg,6
augmented_#1_00000_00003_00023_png.rf.d380a41c490b666ce4bee8990368a1fd.jpg,6
augmented_#2_00000_00003_00023_png.rf.d380a41c490b666ce4bee8990368a1fd.jpg,6
augmented_#3_00000_00003_00023_png.rf.d380a41c490b666ce4bee8990368a1fd.jpg,6
augmented_#4_00000_00003_00023_png.rf.d380a41c490b666ce4bee8990368a1fd.jpg,6
augmented_#0_00000_00003_00026_png.rf.a3b6c2dcd4ee9a8064667b7bb266590b.jpg,6
augmented_#1_00000_00003_00026_png.rf.a3b6c2dcd4ee9a8064667b7bb266590b.jpg,6
augmented_#2_00000_00003_00026_png.rf.a3b6c2dcd4ee9a8064667b7bb266590b.jpg,6
augmented_#3_00000_00003_00026_png.rf.a3b6c2dcd4ee9a8064667b7bb266590b.jpg,6
augmented_#4_00000_00003_00026_png.rf.a3b6c2dcd4ee9a8064667b7bb266590b.jpg,6
augmented_#0_00000_00004_00001_png.rf.557d3494b3e633e29069a6f42918334e.jpg,6
augmented_#1_00000_00004_00001_png.rf.557d3494b3e633e29069a6f42918334e.jpg,6
augmented_#2_00000_00004_00001_png.rf.557d3494b3e633e29069a6f42918334e.jpg,6
augmented_#3_00000_00004_00001_png.rf.557d3494b3e633e29069a6f42918334e.jpg,6
augmented_#4_00000_00004_00001_png.rf.557d3494b3e633e29069a6f42918334e.jpg,6
augmented_#0_00000_00004_00004_png.rf.d4f5ee50324659a47ec7ae664f8ce3a6.jpg,6
augmented_#1_00000_00004_00004_png.rf.d4f5ee50324659a47ec7ae664f8ce3a6.jpg,6
augmented_#2_00000_00004_00004_png.rf.d4f5ee50324659a47ec7ae664f8ce3a6.jpg,6
augmented_#3_00000_00004_00004_png.rf.d4f5ee50324659a47ec7ae664f8ce3a6.jpg,6
augmented_#4_00000_00004_00004_png.rf.d4f5ee50324659a47ec7ae664f8ce3a6.jpg,6
augmented_#0_00000_00004_00008_png.rf.a1b3fa49377e1b891a672b08c3b9dd46.jpg,6
augmented_#1_00000_00004_00008_png.rf.a1b3fa49377e1b891a672b08c3b9dd46.jpg,6
augmented_#2_00000_00004_00008_png.rf.a1b3fa49377e1b891a672b08c3b9dd46.jpg,6
augmented_#3_00000_00004_00008_png.rf.a1b3fa49377e1b891a672b08c3b9dd46.jpg,6
augmented_#4_00000_00004_00008_png.rf.a1b3fa49377e1b891a672b08c3b9dd46.jpg,6
augmented_#0_00000_00004_00011_png.rf.2a4d495dca500a33034661bfb2be18f0.jpg,6
augmented_#1_00000_00004_00011_png.rf.2a4d495dca500a33034661bfb2be18f0.jpg,6
augmented_#2_00000_00004_00011_png.rf.2a4d495dca500a33034661bfb2be18f0.jpg,6
augmented_#3_00000_00004_00011_png.rf.2a4d495dca500a33034661bfb2be18f0.jpg,6
augmented_#4_00000_00004_00011_png.rf.2a4d495dca500a33034661bfb2be18f0.jpg,6
augmented_#0_00000_00004_00013_png.rf.88a7d710b3937bed29c64f8fbcda7138.jpg,6
augmented_#1_00000_00004_00013_png.rf.88a7d710b3937bed29c64f8fbcda7138.jpg,6
augmented_#2_00000_00004_00013_png.rf.88a7d710b3937bed29c64f8fbcda7138.jpg,6
augmented_#3_00000_00004_00013_png.rf.88a7d710b3937bed29c64f8fbcda7138.jpg,6
augmented_#4_00000_00004_00013_png.rf.88a7d710b3937bed29c64f8fbcda7138.jpg,6
augmented_#0_00000_00004_00016_png.rf.5b97d5ed16036366ca0504b06c27cc60.jpg,6
augmented_#1_00000_00004_00016_png.rf.5b97d5ed16036366ca0504b06c27cc60.jpg,6
augmented_#2_00000_00004_00016_png.rf.5b97d5ed16036366ca0504b06c27cc60.jpg,6
augmented_#3_00000_00004_00016_png.rf.5b97d5ed16036366ca0504b06c27cc60.jpg,6
augmented_#4_00000_00004_00016_png.rf.5b97d5ed16036366ca0504b06c27cc60.jpg,6
augmented_#0_00000_00004_00020_png.rf.c2d9143b5c1320a6fd8bce1d4f5746b1.jpg,6
augmented_#1_00000_00004_00020_png.rf.c2d9143b5c1320a6fd8bce1d4f5746b1.jpg,6
augmented_#2_00000_00004_00020_png.rf.c2d9143b5c1320a6fd8bce1d4f5746b1.jpg,6
augmented_#3_00000_00004_00020_png.rf.c2d9143b5c1320a6fd8bce1d4f5746b1.jpg,6
augmented_#4_00000_00004_00020_png.rf.c2d9143b5c1320a6fd8bce1d4f5746b1.jpg,6
augmented_#0_00000_00004_00025_png.rf.1e4c5168d9aa20120a02e038b9016a75.jpg,6
augmented_#1_00000_00004_00025_png.rf.1e4c5168d9aa20120a02e038b9016a75.jpg,6
augmented_#2_00000_00004_00025_png.rf.1e4c5168d9aa20120a02e038b9016a75.jpg,6
augmented_#3_00000_00004_00025_png.rf.1e4c5168d9aa20120a02e038b9016a75.jpg,6
augmented_#4_00000_00004_00025_png.rf.1e4c5168d9aa20120a02e038b9016a75.jpg,6
augmented_#0_00000_00004_00028_png.rf.68f5b6b3c8d2aefe28d872ff0e034656.jpg,6
augmented_#1_00000_00004_00028_png.rf.68f5b6b3c8d2aefe28d872ff0e034656.jpg,6
augmented_#2_00000_00004_00028_png.rf.68f5b6b3c8d2aefe28d872ff0e034656.jpg,6
augmented_#3_00000_00004_00028_png.rf.68f5b6b3c8d2aefe28d872ff0e034656.jpg,6
augmented_#4_00000_00004_00028_png.rf.68f5b6b3c8d2aefe28d872ff0e034656.jpg,6
augmented_#0_00000_00005_00001_png.rf.d57d527b8501230c37afe70d4b90ec62.jpg,6
augmented_#1_00000_00005_00001_png.rf.d57d527b8501230c37afe70d4b90ec62.jpg,6
augmented_#2_00000_00005_00001_png.rf.d57d527b8501230c37afe70d4b90ec62.jpg,6
augmented_#3_00000_00005_00001_png.rf.d57d527b8501230c37afe70d4b90ec62.jpg,6
augmented_#4_00000_00005_00001_png.rf.d57d527b8501230c37afe70d4b90ec62.jpg,6
augmented_#0_00000_00005_00005_png.rf.0a09fb0a87fc6c72787e58702ae83b64.jpg,6
augmented_#1_00000_00005_00005_png.rf.0a09fb0a87fc6c72787e58702ae83b64.jpg,6
augmented_#2_00000_00005_00005_png.rf.0a09fb0a87fc6c72787e58702ae83b64.jpg,6
augmented_#3_00000_00005_00005_png.rf.0a09fb0a87fc6c72787e58702ae83b64.jpg,6
augmented_#4_00000_00005_00005_png.rf.0a09fb0a87fc6c72787e58702ae83b64.jpg,6
augmented_#0_00000_00005_00008_png.rf.88f87aae4782fac445e26fb0d8b67315.jpg,6
augmented_#1_00000_00005_00008_png.rf.88f87aae4782fac445e26fb0d8b67315.jpg,6
augmented_#2_00000_00005_00008_png.rf.88f87aae4782fac445e26fb0d8b67315.jpg,6
augmented_#3_00000_00005_00008_png.rf.88f87aae4782fac445e26fb0d8b67315.jpg,6
augmented_#4_00000_00005_00008_png.rf.88f87aae4782fac445e26fb0d8b67315.jpg,6
augmented_#0_00000_00005_00011_png.rf.4d19637de6d9dad7b58d4f3fcc06fcc1.jpg,6
augmented_#1_00000_00005_00011_png.rf.4d19637de6d9dad7b58d4f3fcc06fcc1.jpg,6
augmented_#2_00000_00005_00011_png.rf.4d19637de6d9dad7b58d4f3fcc06fcc1.jpg,6
augmented_#3_00000_00005_00011_png.rf.4d19637de6d9dad7b58d4f3fcc06fcc1.jpg,6
augmented_#4_00000_00005_00011_png.rf.4d19637de6d9dad7b58d4f3fcc06fcc1.jpg,6
augmented_#0_00000_00005_00013_png.rf.6c2df004ce1e925a6236535800694b9b.jpg,6
augmented_#1_00000_00005_00013_png.rf.6c2df004ce1e925a6236535800694b9b.jpg,6
augmented_#2_00000_00005_00013_png.rf.6c2df004ce1e925a6236535800694b9b.jpg,6
augmented_#3_00000_00005_00013_png.rf.6c2df004ce1e925a6236535800694b9b.jpg,6
augmented_#4_00000_00005_00013_png.rf.6c2df004ce1e925a6236535800694b9b.jpg,6
augmented_#0_00000_00005_00015_png.rf.34697b625385089f3009533707276cbe.jpg,6
augmented_#1_00000_00005_00015_png.rf.34697b625385089f3009533707276cbe.jpg,6
augmented_#2_00000_00005_00015_png.rf.34697b625385089f3009533707276cbe.jpg,6
augmented_#3_00000_00005_00015_png.rf.34697b625385089f3009533707276cbe.jpg,6
augmented_#4_00000_00005_00015_png.rf.34697b625385089f3009533707276cbe.jpg,6
augmented_#0_00000_00005_00020_png.rf.092b9915b0bde1f22a94eae4de18ae82.jpg,6
augmented_#1_00000_00005_00020_png.rf.092b9915b0bde1f22a94eae4de18ae82.jpg,6
augmented_#2_00000_00005_00020_png.rf.092b9915b0bde1f22a94eae4de18ae82.jpg,6
augmented_#3_00000_00005_00020_png.rf.092b9915b0bde1f22a94eae4de18ae82.jpg,6
augmented_#4_00000_00005_00020_png.rf.092b9915b0bde1f22a94eae4de18ae82.jpg,6
augmented_#0_00000_00005_00023_png.rf.74795ecddef7f6b1ac941bff8b8d3511.jpg,6
augmented_#1_00000_00005_00023_png.rf.74795ecddef7f6b1ac941bff8b8d3511.jpg,6
augmented_#2_00000_00005_00023_png.rf.74795ecddef7f6b1ac941bff8b8d3511.jpg,6
augmented_#3_00000_00005_00023_png.rf.74795ecddef7f6b1ac941bff8b8d3511.jpg,6
augmented_#4_00000_00005_00023_png.rf.74795ecddef7f6b1ac941bff8b8d3511.jpg,6
augmented_#0_00000_00005_00028_png.rf.6995b0d4dd5eaa52e1d83d0d39bb5208.jpg,6
augmented_#1_00000_00005_00028_png.rf.6995b0d4dd5eaa52e1d83d0d39bb5208.jpg,6
augmented_#2_00000_00005_00028_png.rf.6995b0d4dd5eaa52e1d83d0d39bb5208.jpg,6
augmented_#3_00000_00005_00028_png.rf.6995b0d4dd5eaa52e1d83d0d39bb5208.jpg,6
augmented_#4_00000_00005_00028_png.rf.6995b0d4dd5eaa52e1d83d0d39bb5208.jpg,6
augmented_#0_00000_00006_00001_png.rf.54349aff64ad744bbbc9eabce77f0942.jpg,6
augmented_#1_00000_00006_00001_png.rf.54349aff64ad744bbbc9eabce77f0942.jpg,6
augmented_#2_00000_00006_00001_png.rf.54349aff64ad744bbbc9eabce77f0942.jpg,6
augmented_#3_00000_00006_00001_png.rf.54349aff64ad744bbbc9eabce77f0942.jpg,6
augmented_#4_00000_00006_00001_png.rf.54349aff64ad744bbbc9eabce77f0942.jpg,6
augmented_#0_00000_00006_00005_png.rf.45551b3671fdeff44cb45caf378c4727.jpg,6
augmented_#1_00000_00006_00005_png.rf.45551b3671fdeff44cb45caf378c4727.jpg,6
augmented_#2_00000_00006_00005_png.rf.45551b3671fdeff44cb45caf378c4727.jpg,6
augmented_#3_00000_00006_00005_png.rf.45551b3671fdeff44cb45caf378c4727.jpg,6
augmented_#4_00000_00006_00005_png.rf.45551b3671fdeff44cb45caf378c4727.jpg,6
augmented_#0_00000_00006_00008_png.rf.35de8cd8fcafd9864e9b7a4c74e5f732.jpg,6
augmented_#1_00000_00006_00008_png.rf.35de8cd8fcafd9864e9b7a4c74e5f732.jpg,6
augmented_#2_00000_00006_00008_png.rf.35de8cd8fcafd9864e9b7a4c74e5f732.jpg,6
augmented_#3_00000_00006_00008_png.rf.35de8cd8fcafd9864e9b7a4c74e5f732.jpg,6
augmented_#4_00000_00006_00008_png.rf.35de8cd8fcafd9864e9b7a4c74e5f732.jpg,6
augmented_#0_00000_00006_00012_png.rf.392cab452e5c2111d48dd2d47441a7f6.jpg,6
augmented_#1_00000_00006_00012_png.rf.392cab452e5c2111d48dd2d47441a7f6.jpg,6
augmented_#2_00000_00006_00012_png.rf.392cab452e5c2111d48dd2d47441a7f6.jpg,6
augmented_#3_00000_00006_00012_png.rf.392cab452e5c2111d48dd2d47441a7f6.jpg,6
augmented_#4_00000_00006_00012_png.rf.392cab452e5c2111d48dd2d47441a7f6.jpg,6
